edicion lolla,artista,minutaje,pantalla principal,juego de luces,tipo de vestimenta,cambio de vestuario,baile,instrumental en vivo,interaccion publico,escenografía,interrupciones,link presentacion
2014,Soundgarden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,The Smashing Pumpkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Jack White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Foster the People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Skrillex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Robert Plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Kings of Leon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Calvin Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Eminem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Florence and the Machine,0:02:32,Pantalla en negro.,Focos con luces azules y blancas.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,No,No,No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:04:15,Pantalla en negro.,Focos con luces azules y blancas.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,"Sí. Si bien no es un baile coreografiado, la vocalista se expresa corporalmente al ritmo de la canción.","Sí. La banda instrumental está compuesta por una batería, bajo, guitarra eléctrica, un arpa, trompetas, coristas, entre otros.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:07:13,Pantalla en negro.,Focos con luces azules y blancas.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,"Sí. Si bien no es un baile coreografiado, la vocalista da saltos mientras agarra una pandereta.","Sí. La banda instrumental está compuesta por una batería, bajo, guitarra eléctrica, un arpa, trompetas, coristas, entre otros.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:36:16,Pantalla en negro.,Se perciben solo focos con luces blancas.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,No,No,"Sí. La vocalista comenta que es la última noche de su tour y que está feliz de terminarla en Chile, además de ser la primera vez que se presentan en él.",Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:38:09,Se muestra un fondo brillante con un patrón de mosaico de espejos en tonos azules.,Se perciben solo focos con luces azules.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,"Sí. Si bien no es un baile coreografiado, la vocalista se expresa corporalmente dando giros mientras se desplaza por el escenario.","Sí. La banda instrumental está compuesta por una batería, bajo, guitarra eléctrica, un arpa, coristas, entre otros.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:41:41,Se muestra un fondo brillante con un patrón de mosaico de espejos en tonos azules.,Se perciben solo focos con luces azules.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,"Sí. La vocalista se expresa corporalmente al ritmo de la canción, moviendo y agitando sus brazos.","Sí. La banda instrumental está compuesta por una batería, bajo, guitarra eléctrica, un arpa, trompetas, coristas, entre otros.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:48:26,Pantalla en negro.,Focos con luces azules y blancas.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,No,"Sí. Hay una intervención de percusión donde la vocalista se suma al baterista, mientras la guitarra eléctrica acompaña de fondo.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:49:23,Pantalla en negro.,Focos con luces azules cambian a rojos.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,No,"Sí. Hay una intervención de percusión donde la vocalista se suma al baterista, mientras la guitarra eléctrica acompaña de fondo.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,0:50:55,Se muestra un fondo brillante con un patrón de mosaico de espejos en tonos rojos.,Focos con luces rojas.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,No,"Sí. La banda instrumental está compuesta por una batería, bajo, guitarra eléctrica, un arpa, trompetas, coristas, entre otros.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,1:19:35,Se muestra un fondo brillante con un patrón de mosaico de espejos en tonos grises.,Luces blancas se encienden de forma intermitente al ritmo de la canción.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,Sí. La vocalista se expresa corporalmente al ritmo de la canción.,"Sí. Solo se escucha la melodía de la guitarra eléctrica y la batería de fondo, junto con las coristas.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,1:20:43,Se muestra un fondo brillante con un patrón de mosaico de espejos en tonos grises.,Focos con luces blancas.,"La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,No,"Sí. La banda instrumental está compuesta por una batería, bajo, guitarra eléctrica, un arpa, trompetas, coristas, entre otros.",Sí. La vocalista bajó del escenario para interactuar físicamente con el público mientras canta.,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Florence and the Machine,1:28:12,Se muestra un fondo brillante con un patrón de mosaico de espejos en tonos grises.,"Intercala entre luces destellantes azules, blancas y rojas. Además, los focos en tono amarillo se encienden de forma intermitente.","La vocalista utiliza un vestido largo color celeste, una corona de flores rosadas sobre la cabeza y está descalza. ",No,No,"Sí. La banda instrumental está compuesta por una batería, bajo, guitarra eléctrica, un arpa, trompetas, coristas, entre otros.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos ordenados en hilera detrás de la banda instrumental.,No,https://youtu.be/2UxZsKyHehw?si=slxT4L2H61wxtm3j 
2016,Jack Ü,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Mumford & Sons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,Metallica,0:01:17,La pantalla está dividida en tres y se transmite el despliegue de la banda en el escenario.,"Luces destellantes blancas de alta intensidad y cegadoras, sincronizadas con el ritmo de la canción.","Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,"Sí. La banda está compuesta por el vocalista (y guitarrista), el bajista, el guitarrista y el baterista. ",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,0:03:30,Transmite el despliegue de la banda en el escenario.,Focos con luces destellantes blancas de alta intensidad.,"Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,"Sí. La banda está compuesta por el vocalista (y guitarrista), el bajista, el guitarrista y el baterista. ","Sí. El vocalista menciona ""Santiago"" cuando la canción está por finalizar y el público reacciona eufórico.",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,0:09:49,Transmite el despliegue de la banda en el escenario.,Focos con luces destellantes blancas de alta intensidad.,"Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,"Sí. La banda está compuesta por el vocalista (y guitarrista), el bajista, el guitarrista y el baterista. ","Sí. El vocalista saluda al público, interactúa con ellos y les dice ""¿Todos bien? "", entre otras cosas segundos después.",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,0:59:19,La pantalla está dividida en dos y se transmite el despliegue del guitarrista.,Focos con luces azules y otras destellantes blancas de alta intensidad.,"Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,Sí. La guitarra eléctrica sobresale con un solo instrumental.,No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,1:02:14,Transmite el despliegue de la banda en el escenario con un filtro.,"Luces destellantes blancas de alta intensidad y cegadoras, sincronizadas con el ritmo de la canción.","Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,"Sí. La banda está compuesta por el vocalista (y guitarrista), el bajista, el guitarrista y el baterista. ","Sí. El vocalista menciona ""Santiago"" y el público reacciona eufórico.",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,1:04:12,En negro,Focos con luces blancas estáticas de alta intensidad.,"Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,No,"Sí. El vocalista le dice al público que está orgulloso de ellos (Santiago). Luego de unos segundos sigue la conversación, pregúntandole entre otras cosas si es que les gusta el heavy metal.",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,2:01:36,Transmite el despliegue de la banda en el escenario.,Focos con luces azules y otras destellantes blancas de alta intensidad.,"Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,Sí. La guitarra eléctrica sobresale con un solo instrumental mientras se escuchan a su vez los demás instrumentos de la banda.,No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,2:03:58,Transmite el despliegue de la banda en el escenario y al público.,"Luces destellantes blancas de alta intensidad sincronizadas con el ritmo de la canción, y focos con luces azules.","Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,"Sí. La banda está compuesta por el vocalista (y guitarrista), el bajista, el guitarrista y el baterista. ","Sí. El vocalista alza el brazo hacia arriba mientras lanza un grito, de forma que el público imite esta acción.",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,Metallica,2:09:10,Transmite el despliegue de la banda en el escenario y al público.,Focos con luces blancas estáticas de alta intensidad.,"Todos los integrantes visten ropa negra y diferente entre sí, como chaquetas, jeans y poleras negras.",No,No,No,"Sí. El vocalista se despide agradeciendo al público, diciendoles que son hermosos e increíbles.",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/8ijJgQ5DI9E?si=6H93yy2uGcrPfF5g 
2017,The Strokes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,The XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,The Weeknd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Pearl Jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Red Hot Chili Peppers,0:01:09,"Pantalla central con forma de semicírculo  que transmite el desplazamiento de los artistas en el escenario mientras tocan sus respectivos instrumentos, utilizando un filtro en blanco y negro.",Focos con luces blancas que forman un arco alrededor de la pantalla principal.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,"Sí. La batería, el bajo y la guitarra eléctrica realizan una introducción instrumental.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,0:03:44,"Pantalla central con forma de semicírculo que transmite el desplazamiento de los artistas en el escenario mientras tocan sus respectivos instrumentos, utilizando un filtro en blanco y negro.",Focos con luces blancas que forman un arco alrededor de la pantalla principal.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,"Sí. La banda instrumental está compuesta por una batería, un bajo, una guitarra eléctrica y el vocalista.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,0:07:59,En negro,El foco ilumina con su potente luz blanca al baterista en medio de la oscuridad.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,Sí. La batería realiza un solo instrumental.,"Sí. Se escucha la voz de uno de los integrantes decir ""mucho amor Chile"", y unos segundos después se escucha ""siempre amor por todos, siempre"".",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,0:38:53,Pantalla central con forma de semicírculo que transmite el desplazamiento de los artistas en el escenario mientras tocan sus respectivos instrumentos.,Focos con luces blancas que forman un arco alrededor de la pantalla principal.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,Sí. El bajo y la guitarra eléctrica realizan un solo instrumental.,No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,0:42:56,"Pantalla central con forma de semicírculo que muestra tonos anaranjados. Sobre ella, se proyectan cuatro pantallas circulares independientes que transmiten el desplazamiento de los artistas con efectos de colores saturados.",Focos con luces rojas alrededor de cada pantalla.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,"Sí. La banda instrumental está compuesta por una batería, un bajo, una guitarra eléctrica y el vocalista.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,0:48:13,Pantalla central con forma de semicírculo que transmite el desplazamiento de los artistas en el escenario mientras tocan sus respectivos instrumentos.,Focos con luces moradas alrededor de cada pantalla.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,"Sí. La banda instrumental está compuesta por una batería, un bajo, una guitarra eléctrica y el vocalista.",Sí. El vocalista les dice unas palabras al público.,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,0:50:41,Pantalla central con forma de semicírculo que transmite el desplazamiento de los artistas en el escenario mientras tocan sus respectivos instrumentos.,Focos con luces verdes alrededor de cada pantalla.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,Sí. Se escucha toda la banda instrumental pero se luce la guitarra eléctrica.,No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,0:53:15,Pantalla central con forma de semicírculo que transmite el desplazamiento de los artistas en el escenario mientras tocan sus respectivos instrumentos.,Focos con luces verdes alrededor de cada pantalla.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,"Sí. Si bien no es un baile coreografiado, los artistas se expresan corporalmente al ritmo de la canción, en especial el vocalista.",Sí. Se escucha toda la banda instrumental pero se luce la guitarra eléctrica.,No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,1:27:51,"Pantalla central con forma de semicírculo que transmite el desplazamiento de los artistas en el escenario mientras tocan sus respectivos instrumentos, utilizando efectos de colores saturados.",Luces destellantes verdes en la parte superior del escenario y focos con luces azules que forman un arco alrededor de la pantalla principal.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,"Sí. Si bien no es un baile coreografiado, los artistas se expresan corporalmente al ritmo de la canción, en especial el vocalista.","Sí. La banda instrumental está compuesta por una batería, un bajo, una guitarra eléctrica y el vocalista.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,1:29:52,En negro,Focos con luces blancas.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,"Sí. Si bien no es un baile coreografiado, los artistas se expresan corporalmente al ritmo de la canción, en especial el bajista.","Sí. La banda instrumental está compuesta por una batería, un bajo, una guitarra eléctrica y el vocalista.",No,Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Red Hot Chili Peppers,1:34:58,En negro,Focos con luces rojas.,Todos los integrantes visten ropa muy colorida y diferente entre sí.,No,No,"Sí. La banda instrumental está compuesta por una batería, un bajo, una guitarra eléctrica y el vocalista.","Sí. El vocalista se despide en nombre de la banda con unas palabras hacia el público, entre ellas algunas en español. ",Sólo se aprecian los instrumentos desplegados por el escenario y focos con luces de colores por alrededor de las pantallas y costados.,No,https://youtu.be/c_Hjvw0PUa8?si=dbbMhZx1SEb5mF3x 
2018,Chance the Rapper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,The Killers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,LCD Soundsystem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Imagine Dragons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Lana del Rey,0:02:00,Se muestra un video del paisaje de una playa en blanco y negro.,Focos con luces blancas y tonalidades azules. Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,No,Sí. Se escuchan las notas que toca el piano.,"Sí. La artista entra al escenario saludando con la mano al público para luego hablarles. Dentro de sus palabras se escucha un ""Hola Chile""  y menciona que ha vuelto al país.","El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:07:49,Transmite el desenvolvimiento de la artista en el escenario en un tono blanco y negro.,Focos con luces blancas que parpadean al ritmo de la canción y focos con luces rojas estáticas.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,Sí. La artista y sus bailarinas de apoyo cantan y hacen una coreografía al ritmo de la canción.,"Sí. Se escucha al piano, el teclado, la batería y se suma la guitarra eléctrica.",No,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:09:35,Se muestra un video del paisaje de una playa y mariposas brillantes en tonalidades rojas.,Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,No,Sí. La guitarra eléctrica acompaña a la artista mientras canta.,No,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:22:42,Se muestra un video del paisaje de una playa en blanco y negro.,Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,No,No,Sí. La artista anuncia la siguiente canción mientras deja en el suelo un cuadro y la bandera de Chile.,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:24:20,Transmite el desenvolvimiento de la artista en el escenario en un tono blanco y negro.,Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,No,Sí. Se escucha la guitarra eléctrica y la batería.,Sí. La artista dirige el micrófono con su mano derecha al público para que canten mientras ella fuma con la mano izquierda.,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:29:32,Se muestra un video en estilo cinematográfico donde se percibe a la artista y otras personas.,Focos con luces blancas y tonalidades azules. Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,"Sí. Si bien no es un baile coreografiado, la artista se expresa corporalmente al ritmo de la canción.","Sí. Se escucha al piano, el teclado, la batería y la guitarra eléctrica.",Sí. La artista dirige el micrófono con su mano derecha al público para que canten mientras ella baila.,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:30:30,Se muestra un video del paisaje de una playa en blanco y negro.,Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,No,No,Sí. La artista le dice al público que son increíbles y que tienen una increíble energía.,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:37:48,Se muestra una imagen de el letrero de Hollywood en el Monte Lee en blanco y negro.,Focos con luces estáticas rojas y luces destellantes blancas. Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,Sí. La artista hace una coreografía al ritmo de la canción.,"Sí. Se escucha al piano, el teclado, la batería y la guitarra eléctrica.",No,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
